Call_Start,Exit_Reason,Party_Name,channel,QueuedTime,RingTime,TalkTime,HoldTime,WrapTime,WaitTime,Queue + Ring,WaitTime vs QueuedTime,AgentTime,agent_answer_time,call_end,agent_finish_time
2020-01-02 11:21:23.999996,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-02 11:21:33.999996,2020-01-02 11:21:33.999996,2020-01-02 11:21:33.999996
2020-01-02 11:23:12.999998,Redirected,,PPC,1,19,0.0,0.0,0.0,20,20,19,0.0,2020-01-02 11:23:32.999998,2020-01-02 11:23:32.999998,2020-01-02 11:23:32.999998
2020-01-02 11:25:53.000002,Redirected,,SEO,0,16,0.0,0.0,0.0,16,16,16,0.0,2020-01-02 11:26:09.000002,2020-01-02 11:26:09.000002,2020-01-02 11:26:09.000002
2020-01-02 11:35:16.999996,Redirected,,SEO,12,10,0.0,0.0,0.0,22,22,10,0.0,2020-01-02 11:35:38.999996,2020-01-02 11:35:38.999996,2020-01-02 11:35:38.999996
2020-01-02 11:38:33.999997,Redirected,,SEO,47,7,0.0,0.0,0.0,54,54,7,0.0,2020-01-02 11:39:27.999997,2020-01-02 11:39:27.999997,2020-01-02 11:39:27.999997
2020-01-02 11:49:48.999997,Redirected,,SEO,33,11,0.0,0.0,0.0,44,44,11,0.0,2020-01-02 11:50:32.999997,2020-01-02 11:50:32.999997,2020-01-02 11:50:32.999997
2020-01-02 11:53:01.000003,Redirected,,PPC,14,10,0.0,0.0,0.0,24,24,10,0.0,2020-01-02 11:53:25.000003,2020-01-02 11:53:25.000003,2020-01-02 11:53:25.000003
2020-01-02 12:26:34.000002,Redirected,,SEO,1,14,0.0,0.0,0.0,15,15,14,0.0,2020-01-02 12:26:49.000002,2020-01-02 12:26:49.000002,2020-01-02 12:26:49.000002
2020-01-02 13:05:50.000001,Redirected,,SEO,1,13,0.0,0.0,0.0,14,14,13,0.0,2020-01-02 13:06:04.000001,2020-01-02 13:06:04.000001,2020-01-02 13:06:04.000001
2020-01-02 13:07:32.999998,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-02 13:07:45.999998,2020-01-02 13:07:45.999998,2020-01-02 13:07:45.999998
2020-01-02 13:33:28.000000,Redirected,,PPC,0,18,0.0,0.0,0.0,18,18,18,0.0,2020-01-02 13:33:46.000000,2020-01-02 13:33:46.000000,2020-01-02 13:33:46.000000
2020-01-02 13:47:58.999998,Redirected,,SEO,0,17,0.0,0.0,0.0,17,17,17,0.0,2020-01-02 13:48:15.999998,2020-01-02 13:48:15.999998,2020-01-02 13:48:15.999998
2020-01-02 13:48:37.999999,Redirected,,SEO,1,11,0.0,0.0,0.0,12,12,11,0.0,2020-01-02 13:48:49.999999,2020-01-02 13:48:49.999999,2020-01-02 13:48:49.999999
2020-01-02 13:52:28.999998,Redirected,,SEO,1,15,0.0,0.0,0.0,16,16,15,0.0,2020-01-02 13:52:44.999998,2020-01-02 13:52:44.999998,2020-01-02 13:52:44.999998
2020-01-02 13:58:31.999998,Redirected,,SEO,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-02 13:58:45.999998,2020-01-02 13:58:45.999998,2020-01-02 13:58:45.999998
2020-01-02 14:06:39.000001,Redirected,,SEO,1,16,0.0,0.0,0.0,17,17,16,0.0,2020-01-02 14:06:56.000001,2020-01-02 14:06:56.000001,2020-01-02 14:06:56.000001
2020-01-02 14:36:22.000003,Redirected,,SEO,1,13,0.0,0.0,0.0,14,14,13,0.0,2020-01-02 14:36:36.000003,2020-01-02 14:36:36.000003,2020-01-02 14:36:36.000003
2020-01-02 14:40:44.000003,Redirected,,SEO,0,18,0.0,0.0,0.0,18,18,18,0.0,2020-01-02 14:41:02.000003,2020-01-02 14:41:02.000003,2020-01-02 14:41:02.000003
2020-01-02 15:13:36.000005,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-02 15:13:48.000005,2020-01-02 15:13:48.000005,2020-01-02 15:13:48.000005
2020-01-02 15:22:30.000000,Redirected,,SEO,0,21,0.0,0.0,0.0,21,21,21,0.0,2020-01-02 15:22:51.000000,2020-01-02 15:22:51.000000,2020-01-02 15:22:51.000000
2020-01-02 16:32:50.000001,Redirected,,SEO,1,18,0.0,0.0,0.0,19,19,18,0.0,2020-01-02 16:33:09.000001,2020-01-02 16:33:09.000001,2020-01-02 16:33:09.000001
2020-01-02 17:06:35.000001,Redirected,,SEO,1,6,0.0,0.0,0.0,7,7,6,0.0,2020-01-02 17:06:42.000001,2020-01-02 17:06:42.000001,2020-01-02 17:06:42.000001
2020-01-02 17:10:32.999998,Redirected,,PPC,33,8,0.0,0.0,0.0,41,41,8,0.0,2020-01-02 17:11:13.999998,2020-01-02 17:11:13.999998,2020-01-02 17:11:13.999998
2020-01-02 17:50:35.999998,Redirected,,PPC,0,18,0.0,0.0,0.0,18,18,18,0.0,2020-01-02 17:50:53.999998,2020-01-02 17:50:53.999998,2020-01-02 17:50:53.999998
2020-01-03 08:19:07.000001,Redirected,,PPC,1,11,0.0,0.0,0.0,12,12,11,0.0,2020-01-03 08:19:19.000001,2020-01-03 08:19:19.000001,2020-01-03 08:19:19.000001
2020-01-03 09:05:14.999997,Redirected,,SEO,0,16,0.0,0.0,0.0,16,16,16,0.0,2020-01-03 09:05:30.999997,2020-01-03 09:05:30.999997,2020-01-03 09:05:30.999997
2020-01-03 09:12:09.000000,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-03 09:12:22.000000,2020-01-03 09:12:22.000000,2020-01-03 09:12:22.000000
2020-01-03 09:20:16.000002,Redirected,,PPC,0,16,0.0,0.0,0.0,16,16,16,0.0,2020-01-03 09:20:32.000002,2020-01-03 09:20:32.000002,2020-01-03 09:20:32.000002
2020-01-03 09:20:35.000001,Redirected,,SEO,1,11,0.0,0.0,0.0,12,12,11,0.0,2020-01-03 09:20:47.000001,2020-01-03 09:20:47.000001,2020-01-03 09:20:47.000001
2020-01-03 09:33:08.000003,Redirected,,PPC,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-03 09:33:22.000003,2020-01-03 09:33:22.000003,2020-01-03 09:33:22.000003
2020-01-03 09:49:44.999999,Redirected,,SEO,1,11,0.0,0.0,0.0,12,12,11,0.0,2020-01-03 09:49:56.999999,2020-01-03 09:49:56.999999,2020-01-03 09:49:56.999999
2020-01-03 09:57:11.999998,Redirected,,PPC,0,15,0.0,0.0,0.0,15,15,15,0.0,2020-01-03 09:57:26.999998,2020-01-03 09:57:26.999998,2020-01-03 09:57:26.999998
2020-01-03 10:25:55.000004,Redirected,,SEO,1,16,0.0,0.0,0.0,17,17,16,0.0,2020-01-03 10:26:12.000004,2020-01-03 10:26:12.000004,2020-01-03 10:26:12.000004
2020-01-03 10:44:29.000003,Redirected,,SEO,1,8,0.0,0.0,0.0,9,9,8,0.0,2020-01-03 10:44:38.000003,2020-01-03 10:44:38.000003,2020-01-03 10:44:38.000003
2020-01-03 10:53:06.999997,Redirected,,SEO,0,17,0.0,0.0,0.0,17,17,17,0.0,2020-01-03 10:53:23.999997,2020-01-03 10:53:23.999997,2020-01-03 10:53:23.999997
2020-01-03 10:53:34.999999,Redirected,,SEO,1,12,0.0,0.0,0.0,13,13,12,0.0,2020-01-03 10:53:47.999999,2020-01-03 10:53:47.999999,2020-01-03 10:53:47.999999
2020-01-03 11:14:23.000003,Redirected,,SEO,0,15,0.0,0.0,0.0,15,15,15,0.0,2020-01-03 11:14:38.000003,2020-01-03 11:14:38.000003,2020-01-03 11:14:38.000003
2020-01-03 11:35:54.000001,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-03 11:36:06.000001,2020-01-03 11:36:06.000001,2020-01-03 11:36:06.000001
2020-01-03 11:39:35.000003,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-03 11:39:45.000003,2020-01-03 11:39:45.000003,2020-01-03 11:39:45.000003
2020-01-03 11:45:41.000002,Redirected,,SEO,0,8,0.0,0.0,0.0,8,8,8,0.0,2020-01-03 11:45:49.000002,2020-01-03 11:45:49.000002,2020-01-03 11:45:49.000002
2020-01-03 12:08:16.999999,Redirected,,SEO,1,8,0.0,0.0,0.0,9,9,8,0.0,2020-01-03 12:08:25.999999,2020-01-03 12:08:25.999999,2020-01-03 12:08:25.999999
2020-01-03 12:26:03.000002,Redirected,,SEO,1,12,0.0,0.0,0.0,13,13,12,0.0,2020-01-03 12:26:16.000002,2020-01-03 12:26:16.000002,2020-01-03 12:26:16.000002
2020-01-03 12:48:50.999999,Redirected,,SEO,4,18,0.0,0.0,0.0,22,22,18,0.0,2020-01-03 12:49:12.999999,2020-01-03 12:49:12.999999,2020-01-03 12:49:12.999999
2020-01-03 12:58:49.000000,Redirected,,SEO,0,16,0.0,0.0,0.0,16,16,16,0.0,2020-01-03 12:59:05.000000,2020-01-03 12:59:05.000000,2020-01-03 12:59:05.000000
2020-01-03 13:01:51.000001,Redirected,,SEO,0,15,0.0,0.0,0.0,15,15,15,0.0,2020-01-03 13:02:06.000001,2020-01-03 13:02:06.000001,2020-01-03 13:02:06.000001
2020-01-03 13:09:23.999996,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-03 13:09:33.999996,2020-01-03 13:09:33.999996,2020-01-03 13:09:33.999996
2020-01-03 13:16:08.000002,Redirected,,PPC,1,10,0.0,0.0,0.0,11,11,10,0.0,2020-01-03 13:16:19.000002,2020-01-03 13:16:19.000002,2020-01-03 13:16:19.000002
2020-01-03 13:20:54.000004,Redirected,,SEO,1,9,0.0,0.0,0.0,10,10,9,0.0,2020-01-03 13:21:04.000004,2020-01-03 13:21:04.000004,2020-01-03 13:21:04.000004
2020-01-03 13:34:00.000002,Redirected,,PPC,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-03 13:34:14.000002,2020-01-03 13:34:14.000002,2020-01-03 13:34:14.000002
2020-01-03 13:34:13.999999,Redirected,,PPC,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-03 13:34:23.999999,2020-01-03 13:34:23.999999,2020-01-03 13:34:23.999999
2020-01-03 13:39:00.000000,Redirected,,PPC,0,16,0.0,0.0,0.0,16,16,16,0.0,2020-01-03 13:39:16.000000,2020-01-03 13:39:16.000000,2020-01-03 13:39:16.000000
2020-01-03 14:23:46.999997,Redirected,,SEO,1,16,0.0,0.0,0.0,17,17,16,0.0,2020-01-03 14:24:03.999997,2020-01-03 14:24:03.999997,2020-01-03 14:24:03.999997
2020-01-03 14:53:11.000000,Redirected,,SEO,0,17,0.0,0.0,0.0,17,17,17,0.0,2020-01-03 14:53:28.000000,2020-01-03 14:53:28.000000,2020-01-03 14:53:28.000000
2020-01-03 15:40:20.999997,Redirected,,SEO,0,16,0.0,0.0,0.0,16,16,16,0.0,2020-01-03 15:40:36.999997,2020-01-03 15:40:36.999997,2020-01-03 15:40:36.999997
2020-01-03 15:57:53.000003,Redirected,,SEO,0,17,0.0,0.0,0.0,17,17,17,0.0,2020-01-03 15:58:10.000003,2020-01-03 15:58:10.000003,2020-01-03 15:58:10.000003
2020-01-03 15:58:32.000004,Redirected,,SEO,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-03 15:58:43.000004,2020-01-03 15:58:43.000004,2020-01-03 15:58:43.000004
2020-01-03 17:53:44.999998,Redirected,,PPC,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-03 17:53:58.999998,2020-01-03 17:53:58.999998,2020-01-03 17:53:58.999998
2020-01-06 07:00:43.000004,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-06 07:00:56.000004,2020-01-06 07:00:56.000004,2020-01-06 07:00:56.000004
2020-01-06 08:09:26.000004,Redirected,,SEO,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-06 08:09:40.000004,2020-01-06 08:09:40.000004,2020-01-06 08:09:40.000004
2020-01-06 08:11:01.000000,Redirected,,SEO,1,13,0.0,0.0,0.0,14,14,13,0.0,2020-01-06 08:11:15.000000,2020-01-06 08:11:15.000000,2020-01-06 08:11:15.000000
2020-01-06 08:15:43.000001,Redirected,,SEO,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-06 08:15:57.000001,2020-01-06 08:15:57.000001,2020-01-06 08:15:57.000001
2020-01-06 08:50:30.000002,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-06 08:50:43.000002,2020-01-06 08:50:43.000002,2020-01-06 08:50:43.000002
2020-01-06 08:58:56.000003,Redirected,,SEO,1,14,0.0,0.0,0.0,15,15,14,0.0,2020-01-06 08:59:11.000003,2020-01-06 08:59:11.000003,2020-01-06 08:59:11.000003
2020-01-06 09:32:36.000001,Redirected,,SEO,0,15,0.0,0.0,0.0,15,15,15,0.0,2020-01-06 09:32:51.000001,2020-01-06 09:32:51.000001,2020-01-06 09:32:51.000001
2020-01-06 09:35:46.000003,Redirected,,PPC,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-06 09:35:59.000003,2020-01-06 09:35:59.000003,2020-01-06 09:35:59.000003
2020-01-06 09:48:42.999999,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-06 09:48:55.999999,2020-01-06 09:48:55.999999,2020-01-06 09:48:55.999999
2020-01-06 10:03:01.000002,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-06 10:03:14.000002,2020-01-06 10:03:14.000002,2020-01-06 10:03:14.000002
2020-01-06 10:06:02.000001,Redirected,,SEO,0,7,0.0,0.0,0.0,7,7,7,0.0,2020-01-06 10:06:09.000001,2020-01-06 10:06:09.000001,2020-01-06 10:06:09.000001
2020-01-06 10:17:47.000000,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-06 10:17:59.000000,2020-01-06 10:17:59.000000,2020-01-06 10:17:59.000000
2020-01-06 10:21:23.000000,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-06 10:21:33.000000,2020-01-06 10:21:33.000000,2020-01-06 10:21:33.000000
2020-01-06 10:21:50.000000,Redirected,,SEO,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-06 10:22:01.000000,2020-01-06 10:22:01.000000,2020-01-06 10:22:01.000000
2020-01-06 10:22:14.000002,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-06 10:22:27.000002,2020-01-06 10:22:27.000002,2020-01-06 10:22:27.000002
2020-01-06 10:23:00.000001,Redirected,,SEO,1,11,0.0,0.0,0.0,12,12,11,0.0,2020-01-06 10:23:12.000001,2020-01-06 10:23:12.000001,2020-01-06 10:23:12.000001
2020-01-06 10:58:26.999996,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-06 10:58:38.999996,2020-01-06 10:58:38.999996,2020-01-06 10:58:38.999996
2020-01-06 10:59:16.000002,Redirected,,SEO,0,17,0.0,0.0,0.0,17,17,17,0.0,2020-01-06 10:59:33.000002,2020-01-06 10:59:33.000002,2020-01-06 10:59:33.000002
2020-01-06 11:28:09.999999,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-06 11:28:19.999999,2020-01-06 11:28:19.999999,2020-01-06 11:28:19.999999
2020-01-06 11:34:38.999997,Redirected,,SEO,1,14,0.0,0.0,0.0,15,15,14,0.0,2020-01-06 11:34:53.999997,2020-01-06 11:34:53.999997,2020-01-06 11:34:53.999997
2020-01-06 11:34:45.000002,Redirected,,SEO,0,8,0.0,0.0,0.0,8,8,8,0.0,2020-01-06 11:34:53.000002,2020-01-06 11:34:53.000002,2020-01-06 11:34:53.000002
2020-01-06 11:43:04.999998,Redirected,,SEO,0,15,0.0,0.0,0.0,15,15,15,0.0,2020-01-06 11:43:19.999998,2020-01-06 11:43:19.999998,2020-01-06 11:43:19.999998
2020-01-06 11:49:25.999997,Redirected,,SEO,0,17,0.0,0.0,0.0,17,17,17,0.0,2020-01-06 11:49:42.999997,2020-01-06 11:49:42.999997,2020-01-06 11:49:42.999997
2020-01-06 12:47:40.000004,Redirected,,SEO,0,20,0.0,0.0,0.0,20,20,20,0.0,2020-01-06 12:48:00.000004,2020-01-06 12:48:00.000004,2020-01-06 12:48:00.000004
2020-01-06 12:50:14.000004,Redirected,,PPC,1,14,0.0,0.0,0.0,15,15,14,0.0,2020-01-06 12:50:29.000004,2020-01-06 12:50:29.000004,2020-01-06 12:50:29.000004
2020-01-06 12:56:32.999997,Redirected,,SEO,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-06 12:56:46.999997,2020-01-06 12:56:46.999997,2020-01-06 12:56:46.999997
2020-01-06 12:57:22.999997,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-06 12:57:34.999997,2020-01-06 12:57:34.999997,2020-01-06 12:57:34.999997
2020-01-06 13:28:32.000001,Redirected,,PPC,1,14,0.0,0.0,0.0,15,15,14,0.0,2020-01-06 13:28:47.000001,2020-01-06 13:28:47.000001,2020-01-06 13:28:47.000001
2020-01-06 14:01:27.000002,Redirected,,SEO,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-06 14:01:41.000002,2020-01-06 14:01:41.000002,2020-01-06 14:01:41.000002
2020-01-06 14:17:21.999999,Redirected,,SEO,0,17,0.0,0.0,0.0,17,17,17,0.0,2020-01-06 14:17:38.999999,2020-01-06 14:17:38.999999,2020-01-06 14:17:38.999999
2020-01-06 14:33:52.999998,Redirected,,SEO,56,8,0.0,0.0,0.0,64,64,8,0.0,2020-01-06 14:34:56.999998,2020-01-06 14:34:56.999998,2020-01-06 14:34:56.999998
2020-01-06 14:39:35.000003,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-06 14:39:47.000003,2020-01-06 14:39:47.000003,2020-01-06 14:39:47.000003
2020-01-06 14:47:22.999998,Redirected,,SEO,0,9,0.0,0.0,0.0,9,9,9,0.0,2020-01-06 14:47:31.999998,2020-01-06 14:47:31.999998,2020-01-06 14:47:31.999998
2020-01-06 14:50:57.000002,Redirected,,SEO,0,13,0.0,0.0,0.0,13,13,13,0.0,2020-01-06 14:51:10.000002,2020-01-06 14:51:10.000002,2020-01-06 14:51:10.000002
2020-01-06 14:56:10.000003,Redirected,,SEO,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-06 14:56:21.000003,2020-01-06 14:56:21.000003,2020-01-06 14:56:21.000003
2020-01-06 15:24:42.000002,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-06 15:24:52.000002,2020-01-06 15:24:52.000002,2020-01-06 15:24:52.000002
2020-01-06 15:41:47.000000,Redirected,,SEO,1,18,0.0,0.0,0.0,19,19,18,0.0,2020-01-06 15:42:06.000000,2020-01-06 15:42:06.000000,2020-01-06 15:42:06.000000
2020-01-06 16:06:34.999998,Redirected,,SEO,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-06 16:06:45.999998,2020-01-06 16:06:45.999998,2020-01-06 16:06:45.999998
2020-01-06 16:08:51.000000,Redirected,,PPC,7,12,0.0,0.0,0.0,19,19,12,0.0,2020-01-06 16:09:10.000000,2020-01-06 16:09:10.000000,2020-01-06 16:09:10.000000
2020-01-06 17:14:19.999997,Redirected,,SEO,1,14,0.0,0.0,0.0,15,15,14,0.0,2020-01-06 17:14:34.999997,2020-01-06 17:14:34.999997,2020-01-06 17:14:34.999997
2020-01-06 17:25:11.999997,Redirected,,SEO,1,18,0.0,0.0,0.0,19,19,18,0.0,2020-01-06 17:25:30.999997,2020-01-06 17:25:30.999997,2020-01-06 17:25:30.999997
2020-01-07 08:22:21.000003,Redirected,,SEO,1,16,0.0,0.0,0.0,17,17,16,0.0,2020-01-07 08:22:38.000003,2020-01-07 08:22:38.000003,2020-01-07 08:22:38.000003
2020-01-07 08:22:56.000004,Redirected,,SEO,0,16,0.0,0.0,0.0,16,16,16,0.0,2020-01-07 08:23:12.000004,2020-01-07 08:23:12.000004,2020-01-07 08:23:12.000004
2020-01-07 08:25:23.999998,Redirected,,SEO,1,10,0.0,0.0,0.0,11,11,10,0.0,2020-01-07 08:25:34.999998,2020-01-07 08:25:34.999998,2020-01-07 08:25:34.999998
2020-01-07 08:25:34.999997,Redirected,,SEO,1,7,0.0,0.0,0.0,8,8,7,0.0,2020-01-07 08:25:42.999997,2020-01-07 08:25:42.999997,2020-01-07 08:25:42.999997
2020-01-07 08:51:32.000003,Redirected,,SEO,1,9,0.0,0.0,0.0,10,10,9,0.0,2020-01-07 08:51:42.000003,2020-01-07 08:51:42.000003,2020-01-07 08:51:42.000003
2020-01-07 08:51:43.000001,Redirected,,SEO,1,12,0.0,0.0,0.0,13,13,12,0.0,2020-01-07 08:51:56.000001,2020-01-07 08:51:56.000001,2020-01-07 08:51:56.000001
2020-01-07 09:26:47.999999,Redirected,,SEO,0,12,0.0,0.0,0.0,12,12,12,0.0,2020-01-07 09:26:59.999999,2020-01-07 09:26:59.999999,2020-01-07 09:26:59.999999
2020-01-07 09:27:32.999996,Redirected,,PPC,1,16,0.0,0.0,0.0,17,17,16,0.0,2020-01-07 09:27:49.999996,2020-01-07 09:27:49.999996,2020-01-07 09:27:49.999996
2020-01-07 09:27:56.000005,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-07 09:28:06.000005,2020-01-07 09:28:06.000005,2020-01-07 09:28:06.000005
2020-01-07 09:56:09.999998,Redirected,,PPC,0,14,0.0,0.0,0.0,14,14,14,0.0,2020-01-07 09:56:23.999998,2020-01-07 09:56:23.999998,2020-01-07 09:56:23.999998
2020-01-07 09:56:32.999997,Redirected,,SEO,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-07 09:56:43.999997,2020-01-07 09:56:43.999997,2020-01-07 09:56:43.999997
2020-01-07 10:10:41.999998,Redirected,,SEO,1,13,0.0,0.0,0.0,14,14,13,0.0,2020-01-07 10:10:55.999998,2020-01-07 10:10:55.999998,2020-01-07 10:10:55.999998
2020-01-07 10:33:45.999996,Redirected,,SEO,1,10,0.0,0.0,0.0,11,11,10,0.0,2020-01-07 10:33:56.999996,2020-01-07 10:33:56.999996,2020-01-07 10:33:56.999996
2020-01-07 10:40:14.000001,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-07 10:40:24.000001,2020-01-07 10:40:24.000001,2020-01-07 10:40:24.000001
2020-01-07 10:40:56.000001,Redirected,,SEO,0,9,0.0,0.0,0.0,9,9,9,0.0,2020-01-07 10:41:05.000001,2020-01-07 10:41:05.000001,2020-01-07 10:41:05.000001
2020-01-07 10:57:28.000002,Redirected,,PPC,0,11,0.0,0.0,0.0,11,11,11,0.0,2020-01-07 10:57:39.000002,2020-01-07 10:57:39.000002,2020-01-07 10:57:39.000002
2020-01-07 11:01:55.000004,Redirected,,SEO,1,11,0.0,0.0,0.0,12,12,11,0.0,2020-01-07 11:02:07.000004,2020-01-07 11:02:07.000004,2020-01-07 11:02:07.000004
2020-01-07 11:14:04.000004,Redirected,,SEO,0,9,0.0,0.0,0.0,9,9,9,0.0,2020-01-07 11:14:13.000004,2020-01-07 11:14:13.000004,2020-01-07 11:14:13.000004
2020-01-07 11:14:04.999998,Redirected,,SEO,0,10,0.0,0.0,0.0,10,10,10,0.0,2020-01-07 11:14:14.999998,2020-01-07 11:14:14.999998,2020-01-07 11:14:14.999998
2020-01-07 11:16:22.000002,Redirected,,SEO,1,9,0.0,0.0,0.0,10,10,9,0.0,2020-01-07 11:16:32.000002,2020-01-07 11:16:32.000002,2020-01-07 11:16:32.000002
2020-01-07 11:26:13.999998,Redirected,,SEO,0,21,0.0,0.0,0.0,21,21,21,0.0,2020-01-07 11:26:34.999998,2020-01-07 11:26:34.999998,2020-01-07 11:26:34.999998
